FID,ID_POP_DOMIC_BAIRRO_2022,NUM_BAIRRO,BAIRRO,AREA_KM,POPULACAO,DOMICILIOS
POP_DOMIC_BAIRRO_2022.102,102,719,Mantiqueira,2.92838504,19843.0,8465.0
POP_DOMIC_BAIRRO_2022.87,87,703,Jardim dos Comerciários,2.01772576,19124.0,7772.0
POP_DOMIC_BAIRRO_2022.426,426,1435,Vila Mantiqueira,0.0266794,419.0,172.0
POP_DOMIC_BAIRRO_2022.209,209,905,Paulo VI,1.28574542,11915.0,4923.0
POP_DOMIC_BAIRRO_2022.45,45,652,Braúnas,2.00404244,1988.0,854.0
POP_DOMIC_BAIRRO_2022.332,332,1337,Lajedo,0.51494353,4966.0,2040.0
POP_DOMIC_BAIRRO_2022.312,312,1316,Conjunto Serra Verde,0.01500446,261.0,90.0
POP_DOMIC_BAIRRO_2022.213,213,967,Nova América,0.00747818,147.0,53.0
POP_DOMIC_BAIRRO_2022.181,181,806,Tupi A,0.91227665,9133.0,4034.0
POP_DOMIC_BAIRRO_2022.195,195,820,Xangri-lá,0.52596024,7.0,2.0
POP_DOMIC_BAIRRO_2022.309,309,1313,Conjunto Paulo VI,0.21456125,3216.0,1184.0
POP_DOMIC_BAIRRO_2022.283,283,1286,Beira-Linha,0.22913289,3836.0,1422.0
POP_DOMIC_BAIRRO_2022.46,46,653,Jardim Atlântico,1.1327733,1316.0,544.0
POP_DOMIC_BAIRRO_2022.322,322,1326,Flamengo,0.01320068,290.0,108.0
POP_DOMIC_BAIRRO_2022.166,166,790,Piratininga,1.70142313,20179.0,8750.0
POP_DOMIC_BAIRRO_2022.93,93,709,Lagoinha Leblon,0.52229238,5758.0,2386.0
POP_DOMIC_BAIRRO_2022.430,430,1439,Vila Nova,0.0168276,495.0,194.0
POP_DOMIC_BAIRRO_2022.299,299,1303,Cenáculo,0.32736415,3067.0,1336.0
POP_DOMIC_BAIRRO_2022.251,251,1176,Granja Werneck,9.214671,6991.0,3874.0
POP_DOMIC_BAIRRO_2022.107,107,724,Minascaixa,0.97573117,9262.0,3868.0
POP_DOMIC_BAIRRO_2022.296,296,1299,Candelária,1.01937327,8029.0,3492.0
POP_DOMIC_BAIRRO_2022.60,60,669,Etelvina Carneiro,0.30919374,2150.0,861.0
POP_DOMIC_BAIRRO_2022.10,10,615,Frei Leopoldo,0.24822214,3197.0,1363.0
POP_DOMIC_BAIRRO_2022.92,92,708,Lagoa,0.62966761,7831.0,3079.0
POP_DOMIC_BAIRRO_2022.380,380,1389,Satélite,0.13985876,437.0,170.0
POP_DOMIC_BAIRRO_2022.36,36,641,São Luíz,2.76789377,4525.0,1837.0
POP_DOMIC_BAIRRO_2022.427,427,1436,Vila Maria,0.12305843,4665.0,1824.0
POP_DOMIC_BAIRRO_2022.462,462,1471,Vila Satélite,0.01252122,280.0,97.0
POP_DOMIC_BAIRRO_2022.342,342,1349,Maria Teresa,0.89379181,911.0,393.0
POP_DOMIC_BAIRRO_2022.210,210,906,Capitão Eduardo,3.41394434,631.0,263.0
POP_DOMIC_BAIRRO_2022.188,188,813,Vila Clóris,0.87526218,6395.0,2869.0
POP_DOMIC_BAIRRO_2022.483,483,1493,Jardim Leblon,0.7408322,9265.0,3943.0
POP_DOMIC_BAIRRO_2022.412,412,1421,Vila dos Anjos,0.03145231,746.0,257.0
POP_DOMIC_BAIRRO_2022.136,136,759,Ribeiro de Abreu,2.1380846,15524.0,6459.0
